"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         225,      -11.02653063,      -11.33938365,      -11.54520565,      -10.37007212
          0,           0,         226,      -11.06445117,      -11.37099974,      -11.57489032,      -10.40008612
          0,           0,         227,      -11.10198366,      -11.40865037,      -11.60645806,      -10.44687473
          0,           0,         228,      -11.13969602,      -11.44271584,      -11.64879562,      -10.48280041
          0,           0,         229,      -11.18218703,       -11.4795111,      -11.68230032,      -10.51745208
          0,           0,         230,      -11.22268404,      -11.52092471,      -11.71836026,      -10.56727337
          0,           0,         231,      -11.26446948,      -11.55974169,      -11.76269207,      -10.60737182
          0,           0,         232,      -11.31153651,      -11.60165172,       -11.7995356,      -10.64659247
          0,           0,         233,      -11.35402623,      -11.64659399,      -11.83995396,      -10.69879092
          0,           0,         234,      -11.39944255,      -11.69060023,      -11.88567401,      -10.74258057
          0,           0,         235,      -11.45050168,      -11.73792164,      -11.92476382,      -10.78568448
          0,           0,         236,      -11.49276638,        -11.786108,      -11.96898444,       -10.8386043
          0,           0,         237,      -11.54006436,      -11.83570569,      -12.01496762,      -10.88427107
          0,           0,         238,      -11.59265393,      -11.88813104,      -12.05411051,      -10.92864132
          0,           0,         239,      -11.63042312,      -11.93890608,      -12.10138723,      -10.97919999
          0,           0,         240,      -11.67442993,      -11.99194418,       -12.1432494,      -11.02024297
          0,           0,         241,      -11.72288693,       -12.0470591,      -12.17910785,      -11.06066258
          0,           0,         242,      -11.74934764,      -12.09628033,      -12.22638944,      -11.10250751
          0,           0,         243,      -11.78428976,      -12.14914907,      -12.26172423,      -11.13332501
          0,           0,         244,      -11.82120908,      -12.19917692,       -12.2885906,      -11.16143862
          0,           0,         245,      -11.83324008,      -12.23881527,      -12.33110079,      -11.19040691
          0,           0,         246,      -11.85698582,      -12.28496849,      -12.36135488,      -11.20946376
          0,           0,         247,      -11.88080935,      -12.31694199,      -12.37524037,      -11.22244156
          0,           0,         248,      -11.88545259,      -12.34334715,      -12.41506589,      -11.24471149
          0,           0,         249,      -11.90076522,      -12.36648472,       -12.4307483,      -11.25262372
          0,           0,         250,      -11.91672166,      -12.37774526,       -12.4356239,      -11.25829186
          0,           0,         251,      -11.91905357,      -12.39138345,      -12.46997338,      -11.27761583
          0,           0,         252,      -11.93158295,      -12.40148217,      -12.48040036,      -11.28295099
          0,           0,         253,      -11.94581685,      -12.40542216,      -12.48765159,      -11.28745388
          0,           0,         254,      -11.94912821,       -12.4117866,      -12.50794718,      -11.30543563
          0,           0,         255,      -11.96218389,      -12.42103403,      -12.52526241,      -11.31307083
          0,           0,         256,      -11.97570064,      -12.42059434,      -12.52233044,      -11.31625806
          0,           0,         257,      -11.98284066,      -12.43229147,      -12.54793873,      -11.33813771
          0,           0,         258,       -11.9965557,      -12.43867817,      -12.55791183,      -11.34597715
          0,           0,         259,      -12.00942699,      -12.44030015,      -12.55674837,      -11.34930027
