"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,         210,      -14.03479464,      -13.91669508,      -14.13119871
          0,           0,         211,      -14.01259653,      -13.88380342,      -14.15691707
          0,           0,         212,      -14.05998148,      -13.93556829,      -14.20411457
          0,           0,         213,       -14.0900068,      -13.96101707,      -14.15737102
          0,           0,         214,      -14.10116975,      -13.98323738,      -14.24728837
          0,           0,         215,      -14.07865088,      -13.94566011,      -14.16092031
          0,           0,         216,      -14.02378346,      -13.90486932,      -14.16647175
          0,           0,         217,      -14.06898754,      -13.93574198,      -14.22575296
          0,           0,         218,      -14.02006224,      -13.89025677,      -14.15261013
          0,           0,         219,      -14.13014183,      -14.02114275,      -14.16344431
          0,           0,         220,       -14.0154802,      -13.87722834,      -14.06440884
          0,           0,         221,      -14.02368997,      -13.85636364,      -14.12758971
          0,           0,         222,      -14.00817726,      -13.86149626,      -14.11186706
          0,           0,         223,      -14.09515553,      -13.98772731,      -14.20968482
          0,           0,         224,      -13.95583471,      -13.83222707,      -14.12451233
          0,           0,         225,      -14.05721634,      -13.90746462,      -14.09710305
          0,           0,         226,      -14.10287181,      -13.96831738,      -14.17652479
          0,           0,         227,      -14.01134495,      -13.89666737,      -14.18916002
          0,           0,         228,      -14.14865065,      -14.00317879,      -14.14504204
          0,           0,         229,      -13.96840697,      -13.83585748,      -14.13620354
          0,           0,         230,      -14.08086902,      -13.95852708,      -14.16388384
          0,           0,         231,      -14.01296523,      -13.89407196,      -14.15585963
          0,           0,         232,      -14.11931284,      -14.00827803,      -14.23728377
          0,           0,         233,      -14.05115839,      -13.91619703,      -14.13270304
          0,           0,         234,      -14.02634516,      -13.88912754,      -14.14914021
          0,           0,         235,       -13.9895007,      -13.85352417,      -14.10982393
          0,           0,         236,      -14.02284602,       -13.8992132,      -14.12926496
          0,           0,         237,      -14.01419263,      -13.88332503,       -14.1199153
          0,           0,         238,      -14.02711771,       -13.9103904,      -14.17177415
          0,           0,         239,       -14.0270624,      -13.90938296,      -14.16495469
          0,           0,         240,      -14.05319618,       -13.9364775,      -14.19282526
          0,           0,         241,      -14.06826314,      -13.95361878,      -14.12330549
          0,           0,         242,      -14.02436056,      -13.88855894,      -14.10827304
          0,           0,         243,      -14.03401287,      -13.89467528,      -14.15419914
          0,           0,         244,      -14.07628993,      -13.93116074,      -14.19569098
          0,           0,         245,      -14.00625547,      -13.87129764,      -14.14273145
          0,           0,         246,      -14.14023502,      -14.01705855,      -14.22907819
          0,           0,         247,      -14.06187165,      -13.95020638,      -14.15009577
          0,           0,         248,      -14.02392296,      -13.91173414,      -14.13267767
          0,           0,         249,      -13.99050022,      -13.85848174,      -14.08675956
          0,           0,         250,      -13.99277904,      -13.85558881,       -14.1515812
          0,           0,         251,      -14.12011508,      -13.99117122,      -14.20420582
          0,           0,         252,       -14.0301266,      -13.91109946,      -14.11339984
          0,           0,         253,      -14.03190922,      -13.90752344,      -14.13048864
          0,           0,         254,      -14.02245606,      -13.89086344,      -14.15354146
          0,           0,         255,      -14.09032498,      -13.95460453,      -14.18409557
          0,           0,         256,      -14.05323271,      -13.92935527,      -14.19181329
          0,           0,         257,      -14.04553204,      -13.90726193,       -14.1515825
          0,           0,         258,      -14.00443349,      -13.87387936,      -14.09057188
          0,           0,         259,      -14.00753713,      -13.87628707,       -14.1336316
          0,           0,         260,      -14.02856876,      -13.89510179,      -14.18029407
          0,           0,         261,      -14.06148482,      -13.94414822,      -14.17939772
          0,           0,         262,      -14.11186726,      -13.97661293,      -14.16982113
          0,           0,         263,      -14.01974384,      -13.90429584,      -14.12167322
          0,           0,         264,      -13.96827864,      -13.86446011,      -14.19625628
          0,           0,         265,      -14.10637662,      -13.99634174,      -14.22333774
          0,           0,         266,      -14.01588664,      -13.89329188,      -14.19160953
          0,           0,         267,      -14.05072024,      -13.95265143,      -14.19915594
          0,           0,         268,      -14.04797547,      -13.91249227,       -14.1130536
          0,           0,         269,      -14.04862632,      -13.89925926,      -14.13702237
          0,           0,         270,      -13.99025615,      -13.85538263,      -14.14891034
          0,           0,         271,      -14.01836954,      -13.88941625,      -14.09554849
          0,           0,         272,      -14.09100376,      -13.96921501,      -14.20164825
          0,           0,         273,      -14.07854133,        -13.950162,      -14.19398847
          0,           0,         274,         -14.06089,      -13.93771426,      -14.16223184
          0,           0,         275,      -14.09824355,      -13.99507106,      -14.20660935
          0,           0,         276,      -14.06862596,      -13.96064897,      -14.16695753
          0,           0,         277,      -14.05441416,      -13.93749827,      -14.20830071
          0,           0,         278,      -14.20895047,       -14.0865503,      -14.26433781
          0,           0,         279,       -14.0915965,       -13.9654948,      -14.21665609
          0,           0,         280,      -13.99392345,      -13.87285219,      -14.10575328
          0,           0,         281,      -14.02114053,      -13.90014093,      -14.16584689
          0,           0,         282,       -14.0663101,      -13.95306382,      -14.17721321
          0,           0,         283,      -14.04024964,      -13.91614561,      -14.14806231
          0,           0,         284,      -14.05761454,      -13.92955145,      -14.20074787
          0,           0,         285,      -14.04287359,      -13.91245613,      -14.13636493
          0,           0,         286,      -14.01823647,      -13.87555182,      -14.12922247
          0,           0,         287,      -14.03073872,      -13.90812929,      -14.14827091
          0,           0,         288,      -14.06665864,       -13.9359413,      -14.14080707
          0,           0,         289,      -14.08099652,      -13.95698357,      -14.12960753
          0,           0,         290,      -14.02503479,      -13.88885424,       -14.1470554
          0,           0,         291,      -14.03355968,      -13.92117981,      -14.22731999
          0,           0,         292,      -14.02388605,      -13.88617557,      -14.08094278
          0,           0,         293,      -14.01244721,      -13.87936665,       -14.1878998
          0,           0,         294,      -14.01449126,      -13.90072444,      -14.07388415
          0,           0,         295,       -14.0124044,      -13.88903825,      -14.16253331
          0,           0,         296,      -13.97506324,      -13.86092407,      -14.10841432
          0,           0,         297,        -14.018728,      -13.91062529,      -14.08180316
          0,           0,         298,      -14.06380707,      -13.95368587,      -14.18975718
          0,           0,         299,      -13.99494085,      -13.87143783,      -14.10623457
          0,           0,         300,      -14.00935541,      -13.90196016,      -14.20240055
          0,           0,         301,      -14.07098856,      -13.94893343,      -14.21924235
          0,           0,         302,      -14.06374003,      -13.92509743,      -14.14044578
          0,           0,         303,       -14.0250796,      -13.90818954,      -14.12801796
          0,           0,         304,       -13.9990131,      -13.87624852,      -14.16536404
          0,           0,         305,      -14.03324435,      -13.91858343,      -14.09997846
          0,           0,         306,      -14.00818013,      -13.88370145,      -14.10335042
          0,           0,         307,      -14.01641293,      -13.87912855,      -14.11906242
          0,           0,         308,       -14.0274522,      -13.91307061,      -14.15153194
          0,           0,         309,         -13.99555,      -13.88616036,       -14.2042667
          0,           0,         310,      -14.07760402,      -13.95528071,      -14.14377034
          0,           0,         311,      -14.13175339,       -14.0044878,      -14.22265696
          0,           0,         312,      -14.11371106,      -13.98528433,      -14.20450636
          0,           0,         313,      -13.99787356,      -13.87828006,      -14.17755864
          0,           0,         314,      -13.95257492,       -13.8339056,      -14.09425691
          0,           0,         315,      -14.03145696,      -13.91956913,       -14.1748693
          0,           0,         316,      -14.02906793,      -13.90578412,      -14.18868011
          0,           0,         317,      -14.04416656,      -13.91340519,      -14.18587353
          0,           0,         318,      -14.01224818,      -13.87613186,      -14.13508347
          0,           0,         319,      -14.09105616,      -13.98070275,      -14.15018518
          0,           0,         320,      -14.00932846,      -13.87937581,      -14.09155079
          0,           0,         321,      -14.05304914,      -13.91306061,       -14.1512059
          0,           0,         322,       -14.0351355,      -13.91941355,      -14.14967647
