Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
62,0.828573,0,2.35955,-0,6.02815e-08,0,0,0,0,0,0,0.799453,0.65,-0.0206771,1.03056,0.943819,-0.139393,0.00245147,3.61166e-05,0.000201677,0.00246002,1.1239,0,0,0,0,1.27095
63,0.825346,0,2.3503,-0,6.02804e-08,0,0,0,0,0,0,0.793996,0.65,-0.0211093,1.02634,0.940119,-0.146794,0.00247634,2.93807e-05,0.000199604,0.00248454,1.12387,0,0,0,0,1.27466
64,0.967073,0,2.77157,-0,6.05718e-08,0,0,0,0,0,0,0.974265,0.65,-0.00199011,1.17119,1.10863,0.190224,0.00120121,0.000266999,0.000147271,0.00123931,1.13109,0,0,0,0,0.969865
65,0.974616,0,2.79449,-0,6.05931e-08,0,0,0,0,0,0,0.979204,0.65,-0.00134406,1.1753,1.1178,0.208561,0.00112111,0.000281761,0.000136298,0.00116398,1.13161,0,0,0,0,0.94333
66,0.966599,0,2.77489,-0,6.06486e-08,0,0,0,0,0,0,0.384997,0.65,-0.0126823,0.755568,1.10996,0.19288,0.00380054,0.000204335,-0.00187877,0.00424448,1.13299,0,0,0,0,1.79304
67,0.86624,0,2.48126,-0,6.05475e-08,0,0,0,0,0,0,0.402517,0.65,-0.0176692,0.764743,0.992505,-0.0420211,0.00377629,-2.66122e-05,-0.000668013,0.00383501,1.13048,0,0,0,0,1.61548
68,0.867201,0,2.48414,-0,6.05498e-08,0,0,0,0,0,0,0.401797,0.65,-0.0175242,0.764361,0.993658,-0.0397168,0.0037887,-2.84482e-05,-0.000698423,0.00385264,1.13054,0,0,0,0,1.62023
69,0.643027,0,1.82146,-0,6.00402e-08,0,0,0,0,0,0,0.647228,0.65,0.0295901,0.917758,0.728584,-0.569863,0.00257649,-9.40787e-05,-5.53193e-05,0.0025788,1.11794,0,0,0,0,1.1509
70,0.647503,0,1.83419,-0,6.00418e-08,0,0,0,0,0,0,0.650233,0.65,0.0294894,0.919876,0.733678,-0.559676,0.00254361,-8.72629e-05,-5.82259e-05,0.00254577,1.11798,0,0,0,0,1.14713
71,0.834395,0,2.36613,-0,6.00902e-08,0,0,0,0,0,0,0.796415,0.65,0.0209284,1.02821,0.946454,-0.134124,0.00167598,0.000118067,-0.000132501,0.00168535,1.11917,0,0,0,0,1.05897
