"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         190,      -7.272557992,      -6.591159169,        -7.6425827,      -7.826214738,       -6.67087358,      -9.539294006
          0,           0,         191,      -7.275707508,      -6.593294249,      -7.648276194,        -7.8360996,      -6.674041261,      -9.539285182
          0,           0,         192,      -7.278854082,      -6.595388569,      -7.653911405,      -7.845938716,       -6.67720675,      -9.539284614
          0,           0,         193,      -7.281946316,      -6.597513005,      -7.659536243,      -7.855790791,      -6.680318025,       -9.53929425
          0,           0,         194,      -7.284944829,       -6.59960515,      -7.665146211,      -7.865708496,      -6.683334668,      -9.539314878
          0,           0,         195,      -7.287809682,      -6.601658372,      -7.670749382,      -7.875718681,       -6.68621491,      -9.539346229
          0,           0,         196,      -7.290508238,      -6.603671153,      -7.676349129,      -7.885826298,      -6.688924283,      -9.539388085
          0,           0,         197,      -7.293016482,      -6.605641431,      -7.681942678,      -7.896023928,      -6.691437224,      -9.539439819
          0,           0,         198,      -7.295319116,      -6.607567897,      -7.687522485,      -7.906290926,      -6.693737385,      -9.539500957
          0,           0,         199,       -7.29740984,      -6.609450405,      -7.693077776,      -7.916595292,      -6.695818086,      -9.539571095
          0,           0,         200,      -7.299291111,      -6.611289909,      -7.698596317,      -7.926898156,      -6.697682132,      -9.539649503
          0,           0,         201,      -7.300973378,       -6.61308848,      -7.704065847,      -7.937159237,      -6.699341003,      -9.539735436
          0,           0,         202,      -7.302474016,      -6.614849323,      -7.709475883,      -7.947342625,      -6.700813624,      -9.539828395
          0,           0,         203,      -7.303815917,      -6.616576447,      -7.714818642,      -7.957420943,      -6.702124779,      -9.539927862
          0,           0,         204,       -7.30502611,      -6.618274615,        -7.7200895,      -7.967378201,      -6.703303485,      -9.540033346
          0,           0,         205,        -7.3061343,      -6.619949019,      -7.725286937,      -7.977211019,      -6.704381311,      -9.540144482
          0,           0,         206,      -7.307171475,      -6.621605087,      -7.730412105,      -7.986927652,      -6.705390782,      -9.540261127
          0,           0,         207,      -7.308168597,      -6.623248249,      -7.735468111,      -7.996545127,      -6.706363962,      -9.540383003
          0,           0,         208,      -7.309155499,      -6.624883824,      -7.740459155,      -8.006085435,      -6.707331283,       -9.54050997
          0,           0,         209,      -7.310159936,      -6.626516897,      -7.745389605,      -8.015571168,      -6.708320609,      -9.540642216
          0,           0,         210,      -7.311206626,      -6.628151863,      -7.750262942,      -8.025021202,      -6.709356355,      -9.540779677
          0,           0,         211,      -7.312316643,      -6.629792505,      -7.755081483,      -8.034448056,      -6.710458977,      -9.540922464
          0,           0,         212,      -7.313506908,      -6.631441819,      -7.759846152,      -8.043855244,       -6.71164457,      -9.541070684
          0,           0,         213,       -7.31478988,      -6.633101975,      -7.764556587,      -8.053237024,      -6.712924696,      -9.541224593
          0,           0,         214,      -7.316173443,      -6.634774313,      -7.769211338,      -8.062579168,      -6.714306381,       -9.54138418
          0,           0,         215,      -7.317660909,      -6.636459384,      -7.773808543,      -8.071861469,      -6.715792191,      -9.541549677
          0,           0,         216,      -7.319251196,      -6.638156983,      -7.778346538,       -8.08106057,      -6.717380458,      -9.541721298
          0,           0,         217,      -7.320939128,      -6.639866207,      -7.782824424,      -8.090153612,      -6.719065598,      -9.541899254
          0,           0,         218,      -7.322715933,      -6.641585543,      -7.787242525,      -8.099121514,      -6.720838592,      -9.542083771
          0,           0,         219,      -7.324569598,      -6.643312952,      -7.791602563,       -8.10795201,      -6.722687309,      -9.542275089
          0,           0,         220,      -7.326485581,      -6.645045998,      -7.795907772,      -8.116640523,      -6.724597159,      -9.542473414
          0,           0,         221,      -7.328447585,      -6.646781995,      -7.800162802,      -8.125190589,      -6.726551828,      -9.542679109
          0,           0,         222,      -7.330438217,       -6.64851808,      -7.804373137,       -8.13361352,      -6.728533897,      -9.542892243
          0,           0,         223,      -7.332439767,      -6.650251362,      -7.808544679,      -8.141926427,      -6.730525592,      -9.543112804
          0,           0,         224,      -7.334434944,       -6.65197906,      -7.812683276,      -8.150149525,      -6.732509502,      -9.543340882
          0,           0,         225,      -7.336407582,      -6.653698633,       -7.81679424,      -8.158303166,      -6.734469292,      -9.543576598
          0,           0,         226,      -7.338343203,      -6.655407783,      -7.820881824,      -8.166405081,      -6.736390287,      -9.543819772
          0,           0,         227,      -7.340229538,      -6.657104576,       -7.82494909,      -8.174468618,      -6.738260017,      -9.544070441
          0,           0,         228,      -7.342056912,      -6.658787508,      -7.828997721,      -8.182501235,       -6.74006864,      -9.544328347
          0,           0,         229,      -7.343818463,      -6.660455536,      -7.833028105,      -8.190504249,        -6.7418092,      -9.544593174
